Manuscript,coteString,
http://rdfh.ch/0112/NWqBXNmrQ1qO9OS9SnpW4g,COTE MANQUANTE,
http://rdfh.ch/0112/1dvlpXlYQjKkA45Hz3kdVQ,Bibliothèque de Roud,
http://rdfh.ch/0112/15fcCP15SQSH7lM1htlWHQ,MS 6 B2/4a,
http://rdfh.ch/0112/sWIOpxM5SneFfMm5aPzKbA,MS 5 B/4e,
http://rdfh.ch/0112/8C8ZYzNURKa5FLJVu3pN_w,A compléter au cours du travail,
http://rdfh.ch/0112/pSVHKnFgRdeHj7CYzKFd-w,BIO 15,
http://rdfh.ch/0112/F5FAYuAfRD-JKWWQquLjnA,MS 4 F/25a,
http://rdfh.ch/0112/dhJd3TlZQt-NVFNsZbBOtw,MS 1 H1/1a,
http://rdfh.ch/0112/l1HW7__MRWO7p3PfYYOkHg,Voir dans le dossier Requiem,
http://rdfh.ch/0112/2sWFFFv2ThS4F29hudSuYQ,Voir dans le dossier Requiem,
http://rdfh.ch/0112/2OZg4NGnQ-ea7MUZPZbpag,ACR1GD/1/11,
http://rdfh.ch/0112/0spP24QiRUSTX_Uet5SkFg,MS 1 A/3a,
http://rdfh.ch/0112/WDv_aFIFTmiFHo_mZIFqMg,MS 2 C/15a,
http://rdfh.ch/0112/-Rnhgo1bTOW7X3Oqpy9sog,MS 1 C/1b,
http://rdfh.ch/0112/ouZgOcdbQWK_IJr8uTy-jg,MS 1 C/3a,
http://rdfh.ch/0112/H6IvMe3kSjGbLXfwmuDNXA,MS 1 D/2a,
http://rdfh.ch/0112/Is6f_c_kQV2lsdxzQcmwow,MS 1 D/3a,
http://rdfh.ch/0112/dXmwI0DnRfC3uURNdO3tKg,MS 1 D/4c,
http://rdfh.ch/0112/QKyBsUJoRyW4JphDsWdRLQ,MS 1 A/1b,
http://rdfh.ch/0112/Ex3jc9T7T3ayU_D2Q90ecw,MS 1 E/1a,
http://rdfh.ch/0112/DcLryg5MT3upsjseZ7rMaA,MS 1 E/1b,
http://rdfh.ch/0112/-YUADplHQeOEH56qfSD-Jw,MS 1 E/3a,
http://rdfh.ch/0112/qHRtTBEyTBeKjgHeCNlHQQ,MS 1 E/4a,
http://rdfh.ch/0112/3EOFAvObT-eHtiYdswWorg,MS 1 E/6b,
http://rdfh.ch/0112/yhQJrcw_Ty6LaCKJpWHdIA,MS 1 E/7b,
http://rdfh.ch/0112/t50lRPyCTzuVc6HnWbEuSg,MS 1 F/1b,
http://rdfh.ch/0112/g-85Lo2CRL2kmQcQy7pAXQ,MS 1 G/1,
http://rdfh.ch/0112/zTDoFyw1RG6S-lXVoKMSzQ,MS 1 G/2b,
http://rdfh.ch/0112/GzU_WUaoQEiOiLzFv7NmVg,MS 1 G/3c,
http://rdfh.ch/0112/nvbhm0nBTyaaXA5BXZRWwQ,MS 1 G/4a,
http://rdfh.ch/0112/ioCpKzbRR9G0rnGJLGH_Qg,D-1-ROU-1,
