pub,pubLabel
http://rdfh.ch/0112/5zRZKkKeTNizba9QZL7xcQ,pub_FAKE
http://rdfh.ch/0112/LjgsnWG9Rv6mJuwpR0r2qg,pub_FAKE
http://rdfh.ch/0112/kf2nEJedRR6M6pgRqN5OhA,pub_Gustave Roud de Philippe Jaccotet_La_Gazette_littéraire_1968-06-01
http://rdfh.ch/0112/d_3GSxyeTvG8-AbkfS6zRg,pub_A. L._Gustave Roud_Le_Messager_social
http://rdfh.ch/0112/gKS1sf3HR5S_0Szwia4Y9A,pub_Acatos Sylvio_Gustave Roud: la lumière et l'ombre_Construire_1972-09-20
http://rdfh.ch/0112/yuE8h_CzTMa_3SzVlbM94A,pub_Altwegg Jürg_Adieu Gustave Roud_National_Zeitung
http://rdfh.ch/0112/vhXNGFdFRv-JYmF_uXPS7g,pub_Anet Daniel_Écoutons mieux Gustave Roud_Le_Messager_social_1968-03-25
http://rdfh.ch/0112/8kgDtJl2Q8iWyY9PS_Xo2Q,"pub_Anex Georges_C'est arrivé en 1967, ""Requiem"" de Gustave Roud_Gazette_de_Lausanne_1967-12-30"
http://rdfh.ch/0112/M8xV0Ab2QhGU0zLUlm4D9w,"pub_Anex Georges, Roud Gustave_En hommage à Gustave Roud_La_Nouvelle_Revue_Française_1957-10"
http://rdfh.ch/0112/2u_UifZ_Tgek2D9Wl0PxZA,"pub_ATS_Pour les 70 ans de Gustave Roud, Outre le Prix de Lausanne une édition de ses œuvres_Feuille_d_Avis_de_Lausanne_1967-03-16"
http://rdfh.ch/0112/oKm73VI9RlS16-zNlelRRQ,pub_Auberjonois René_Extraits des lettres d'Auberjonois_Schweizer_Kunst_1958-09
http://rdfh.ch/0112/M3a2D-hMTYue_MPY7t2oaA,pub_Aubert Claude_Présentation du poète Gustave Roud_Le_Journal_de_Genève_1945-09-08
http://rdfh.ch/0112/QamaIGIgRVaCUhXNhIvhKg,pub_Aubert Claude_Présentation du poète Gustave Roud_Journal_de_Genève_1945-09-08
